Active buyers only,Alleen actieve kopers,
Adjustment Fee,Aanpassing kosten,
Adjustment Refund,Aanpassing terugbetaling,
All customers,Alle klanten,
Already have account?,Heeft u al een account?,
"An error occurred with the following message: ""%1"". Please check the exception log for more details.",Er is een fout opgetreden met het volgende bericht: '%1'. Controleer het uitzonderingslogboek voor meer details.,
"An error occurred with the following message: ""%1"". Please enable the debug mode, try again and check the debug log for more details.","Er is een fout opgetreden met het volgende bericht: '%1'. Schakel de debugmodus in, probeer het opnieuw en controleer het debuglogboek voor meer details.",
"Any empty TreviPay fields will be populated when the Magento Customer signs in to the TreviPay Checkout App, or the TreviPay Customer and TreviPay Buyer status is no longer pending","Eventuele lege TreviPay-velden worden ingevuld wanneer de Magento-klant zich aanmeldt bij de TreviPay Checkout-app, of wanneer de TreviPay klant- en TreviPay koperstatus niet langer in afwachting zijn.",
API Key,API-key,
API key does not match your webhooks API key,API-sleutel komt niet overeen met je webhooks API-sleutel,
API key matching webhooks,API-sleutel die overeenkomt met webhooks,
API URL,API-URL,
API URL is not set.,API-URL is niet ingesteld.,
Apply for Credit,Krediet aanvragen,
Apply for TreviPay,Toepassen voor %1,
Apply Now,Nu toepassen,
Approval for a Line of Credit,Goedkeuring voor een kredietlijn,
Approved Limit,Goedgekeurde limiet,
Are you sure you want to delete the webhooks?,Weet je zeker dat je de webhooks wilt verwijderen?,
authorization,autorisatie,
Authorization transaction is required to void.,Autorisatietransactie is vereist om te annuleren.,
Authorize Only,Alleen autoriseren,
Authorized,Geautoriseerd,
Availability,Beschikbaarheid,
Available,Beschikbaar,
Balance,Saldo,
Base URL matching webhooks Base URL,Base URL die overeenkomt met webhooks Base URL,
Base URL not matching webhooks Base URL,Base URL die niet overeenkomt met webhooks Base URL,
Business Name,Bedrijfsnaam,
Buyer ID (first 8 characters),Koper-ID (eerste 8 tekens),
Cancel,Annuleren,
Cannot link account. You are not permitted to purchase.,Kan account niet koppelen. U heeft geen bevoegdheid voor aankopen.,
Cannot void the authorization transaction because its status is %1.,Kan de autorisatietransactie niet annuleren omdat de status %1 is.,
Cannot void the authorization transaction.,Kan de autorisatietransactie niet annuleren.,
charge,laden,
Check Created Webhooks,Aangemaakte webhooks controleren,Check Created Webhooks
Client Reference ID,Klantreferentie-ID,
Close,Sluiten,
Company Wide Purchasing,Bedrijfsbrede inkoop,
Connect with Purchase Orders,Verbinden met inkooporders,
"Continuing to Apply will complete your checkout, placing the order as 'Pending' and will be automatically processed after a successful credit application approval and activation.","Door verder te gaan met Toepassen wordt het afrekenen voltooid, waarbij de bestelling als 'In afwachting' wordt geplaatst en automatisch wordt verwerkt na een succesvolle goedkeuring en activering van de kredietaanvraag.",
Core error occurred during TreviPay payment %1. Please check the exception log for details.,Er is een programmafout opgetreden tijdens TreviPay-betaling %1. Bekijk het uitzonderingslogboek voor meer informatie.,
Could not assign an unique client reference id to the customer.,Kon geen unieke klantreferentie-ID aan de klant toewijzen.,
"Could not save an invoice, see error log for details","Kon factuur niet opslaan, zie foutenlogboek voor meer informatie",
Created Webhooks,Aangemaakte webhooks,
Credit Information,Kredietinformatie,
CreditMemo not found,CreditMemo niet gevonden,
Currency,Valuta,
Customer redirected to the TreviPay credit application form.,De klant wordt doorgestuurd naar het TreviPay-kredietaanvraagformulier.,
Debug,Debug,
Delete Webhooks,Verwijder Webhooks,
Direct Charge,Direct in rekening brengen,
Easy Checkout,Makkelijk afrekenen,
Enabled,Ingeschakeld,
Error occurred during generating uuid,Fout opgetreden tijdens het genereren van UUID.,
Fast Approval,Snelle goedkeuring,
Features,Functies,
Flexible Terms,Flexibele voorwaarden,
Forget Me,Vergeet mij,
"Hold on! You currently have insufficient credit, for this purchase. No worries, please visit %1 to request an increase to your credit line.","Wacht even! U hebt momenteel onvoldoende krediet voor deze aankoop. Geen zorgen, ga naar %1 om een verhoging van uw kredietlijn aan te vragen.",
How it works,Hoe het werkt,
"If you already have an account with us, please Sign In instead of applying for a new credit application.","Als u al een account bij ons heeft, meld u dan aan in plaats van een nieuwe kredietaanvraag in te dienen.",
"If you have just applied and haven’t activated the account yet, any pending orders may not be processed correctly.","Als u zich net heeft aangemeld en uw account nog niet heeft geactiveerd, worden lopende bestellingen mogelijk niet correct verwerkt.",
Invalid amount for a refund.,Ongeldig bedrag voor een terugbetaling.,
Invalid amount for a refund. Refund amount can't be higher than the paid amount.,Ongeldig bedrag voor terugbetaling. Het terugbetalingsbedrag kan niet hoger zijn dan het betaalde bedrag.,
Invoice not found,Factuur niet gevonden,
Invoicing Your Way,Factureren op jouw manier,
Looking to unlink your TreviPay from this account? Please click <a %2><span>Forget Me</span></a>,Wilt u %1 loskoppelen van deze account? Klik dan op <a %2><span>Vergeet mij</span></a>,
M2 Customer does not have a TreviPay Buyer ID assigned.,M2-klant heeft geen TreviPay kopers-id toegewezen.,
"Make sure the URL ends with '/' (slash), an example text to be either my_program.b2b.credit/ OR my_program.trevipay.app/",Zorg ervoor dat de URL eindigt op '/' (schuine streep). Een voorbeeldtekst is ofwel my_program.b2b.credit/ OF my_program.trevipay.app/,
"Make sure to ""Save Config"" before using this button","Zorg ervoor dat je op ""Configuratie opslaan"" klikt alvorens deze knop te gebruiken",
Maximum Order Total,Maximaal bestellingstotaal,
Minimum Order Total,Minimaal bestellingstotaal,
New Order Status,Nieuwe bestellingsstatus,
Notes,Aantekeningen,
"Oh no! Your TreviPay account is inactive. This can be for many reasons, please visit <a href=""%1"">%2</a> to resolve this matter.","O nee! Je %3-account is niet actief. Hier kunnen verschillende redenen voor zijn. Ga naar <a href=""%1"">%2</a> om deze kwestie op te lossen.",
Order has no payment method.,Order heeft geen betaalmethode.,
Order is not associated with the provided customer.,Order staat niet in verband met de opgegeven klant.,
Order payment method is not TreviPay.,Order betaalmethode is niet %1.,
Page not found.,Pagina niet gevonden.,
Partial invoice is not possible because a Gift Card had been used.,Gedeeltelijke factuur is niet mogelijk omdat er een cadeaubon is gebruikt.,
Partial invoice is not possible because Store Credits had been used.,Gedeeltelijke factuur is niet mogelijk omdat er winkelkrediet gebruikt is.,
Payment Action,Betaalactie,
Payment capturing error.,Fout bij het vastleggen van de betaling.,
Payment from Applicable Countries,Betaling vanuit toepasselijke landen,
Payment from Specific Countries,Betaling vanuit specifieke landen,
Payment method is not enabled,Betaalmethode is niet ingeschakeld,
Payment Method Logo,Logo betaalmethode,
Payment not found,Betaling niet gevonden,
Payment refund error.,Fout bij terugbetaling.,
Payment voiding error.,Fout bij annulering van betaling.,
Payment voiding error. Received status %1,Fout bij annulering van betaling. Ontvangen status %1.,
Pending Application Approval,In afwachting van goedkeuring aanvraag,
Place Order,Bestelling plaatsen,
Please confirm you want to unlink this account from Trevipay. You will be forced to log in again at next checkout when using this payment type.,Bevestig dat u deze account wilt loskoppelen van %1. Bij de volgende afrekening moet u opnieuw inloggen als u deze betaalmethode gebruikt.,
Please log in before using this payment method.,Log in voordat u deze betaalmethode gebruikt.,
Please note the TreviPay payment method was used for the edited order. After editing the order a totally new payment transaction will be created and as a Seller you will be charged with fees as for any payment transaction.,"Houd er rekening mee dat de TreviPay-betaalmethode gebruikt is voor de bewerkte order. Na bewerking van de order wordt een geheel nieuwe betalingstransactie aangemaakt en omdat je verkoper bent, worden er kosten bij je in rekening gebracht, net zoals bij elke betalingstransactie.",
Please sign in to TreviPay Checkout,Meld u aan bij het afrekenen voor %1,
Please sign-in in to TreviPay Checkout after modifying the cart.,Meld u aan bij het afrekenen voor %1 nadat u de winkelwagen heeft gewijzigd.,
Program URL,Programma-URL,
Provide Business Info,Geef bedrijfsinformatie op,
Purchase Order Number,Inkoopordernummer,
Purchase Order number is invalid or does not match expected format,Inkoopordernummer is ongeldig of komt niet overeen met verwachte indeling,
Purchase Order number is required,Inkoopordernummer is vereist,
Re-apply for TreviPay,Opnieuw een aanvraag indienen voor %1,
Refund Offline,Offline terugbetalen,
Refund Offline is not available,Refund Offline is niet beschikbaar,
Refunded shipping '%1' is higher than captured shipping '%2',Terugbetaalde verzending '%1' is hoger dan vastgelegde verzending '%2'.,
Refunded shipping '%1' is higher than invoiced shipping '%2',Terugbetaalde verzending '%1' is hoger dan gefactureerde verzending '%2'.,
Sandbox API Key,Sandbox-API-key,
Sandbox API URL,Sandbox-API-URL,
Sandbox Mode,Sandboxmodus,
Sandbox Program URL,Sandboxprogramma-URL,
Sandbox Seller ID,Sandbox-verkoper-ID,
Seller ID,Verkoper-ID,
Sign In,Inloggen,
Something went wrong in the payment gateway.,Er is iets misgegaan in de betalingsgateway.,
"Sorry, your application has been cancelled. Please visit <a href=""%1"">%2</a> to resubmit.","Je aanvraag is helaas geannuleerd. Ga naar <a href=""%1"">%2</a> om opnieuw in te dienen.",
"Sorry, your application has been declined at this time. You are invited to reapply in 6 months from the initial application date, where we will re-review.",Helaas is je aanvraag deze keer geannuleerd. Je wordt uitgenodigd om binnen 6 maanden na de datum van de eerste aanvraag opnieuw een aanvraag in te dienen. We zullen je aanvraag dan opnieuw beoordelen.,
"Sorry, your credit application has been denied. Please use another payment method for business purchases.",Helaas is je kredietaanvraag geweigerd. Gebruik een andere betaalmethode voor zakelijke aankopen.,
Sort Order,Sorteervolgorde,
Status,Status,
Status of the transaction not found.,Status van de transactie niet aangetroffen.,
Status of the webhooks,Status van de webhooks,
The entity that was requested doesn't exist. Verify the entity and try again.,De opgevraagde entiteit bestaat niet. Controleer de entiteit en probeer het opnieuw.,
The invoice can't be created without products. Add products and try again.,De factuur kan niet worden aangemaakt zonder producten. Voeg producten toe en probeer het opnieuw.,
There was an error forgetting your TreviPay Account. Please try again.,Er is een fout opgetreden bij het vergeten van uw %1-account. Probeer het opnieuw.,
There was an error processing your request.,Er is een fout opgetreden bij het verwerken van uw verzoek.,
There was an error trying to apply for TreviPay.,Er is een fout opgetreden bij het aanvragen van %1.,
There was an error trying to sign in. Please contact support',Er is een fout opgetreden bij het aanmelden. Neem contact op met de ondersteuning.,
Title,Titel,
TreviPay authorized amount of %1.,TreviPay heeft bedrag van %1 geautoriseerd.,
TreviPay captured amount of %1.,TreviPay heeft bedrag van %1 vastgelegd.,
TreviPay does not support multishipping,TreviPay ondersteunt geen multishipping,
TreviPay payment %1 error: %2,TreviPay betaling %1 fout: %2,
TreviPay payment method is currently not available to this customer as the customer is not registered in TreviPay yet.,De TreviPay-betaalmethode is momenteel niet beschikbaar voor deze klant omdat de klant nog niet geregistreerd is bij TreviPay.,
"TreviPay payment method is currently not available to this customer as their TreviPay buyer status is ""%1"".",De TreviPay-betaalmethode is momenteel niet beschikbaar voor deze klant omdat zijn of haar TreviPay-kopersstatus '%1' is.,
"TreviPay payment method is currently not available to this customer as their TreviPay customer status is ""%1"".",De TreviPay-betaalmethode is momenteel niet beschikbaar voor deze klant omdat zijn of haar TreviPay-klantstatus '%1' is.,
TreviPay payment method is currently not available to you. Please visit the TreviPay section to find more details.,%10-betaalmethode is momenteel niet beschikbaar voor u. Ga naar %1 voor meer informatie.,
TreviPay Portal,%1-portaal,
TreviPay Support Number,TreviPay-ondersteuningsnummer,
TreviPay TreviPayMagento,TreviPay TreviPayMagento,
trevipay-adjustment-fee,%1-aanpassing-kosten,
trevipay-adjustment-refund,%1-aanpassing-terugbetaling,
Unsupported payment action '%1' detected.,Niet ondersteunde betaaltransactie '%1' 'gedetecteerd.,
Up to 45 Days to Pay,Tot 45 dagen om te betalen,
View TreviPay Invoice,Bekijk TreviPay-factuur,
"Visit the '%1' Portal to view your invoices, increase your credit line, or make a payment.","Ga naar het '%1'-portaal om uw facturen te bekijken, uw kredietlijn te verhogen of een betaling te doen.",
"Visit the <a href=""%1"">TreviPay Portal</a> to view your invoices, increase your credit line, or make a payment.","Ga naar het <a href=""%1"">TreviPay-portaal</a> om uw facturen te bekijken, uw kredietlijn te verhogen of een betaling te doen.",
"Visit the TreviPay Portal to view your invoices, increase your credit line, or make a payment.","Ga naar het TreviPay-portaal om uw facturen te bekijken, uw kredietlijn te verhogen of een betaling te doen.",
"We are currently reviewing your enrollment application for TreviPay. This process normally takes around 4 business hours to complete. If we have any questions or an approval, we will reach out to you via email.","We zijn momenteel bezig met het beoordelen van je inschrijvingsaanvraag voor %1. Dit proces duurt normaal gesproken ongeveer 4 werkuren. Als we vragen of een goedkeuring hebben, nemen we contact met je op via e-mail.",
We are not able to create a Credit Memo without an Invoice.,We kunnen geen kredietmemo aanmaken zonder factuur.,
We are sorry! An error has occurred and we want to fix it. Please contact %1 at %2 or %3,Het spijt ons! Er is een fout opgetreden en we willen dit oplossen. Neem contact op met %1 via %2 of %3.,
We are sorry! An error has occurred and we want to fix it. Please contact %1.,Het spijt ons! Er is een fout opgetreden en we willen dit oplossen. Neem contact op met %1.,
We are sorry! An error has occurred and we want to fix it. Please contact us at %1 or %2,Het spijt ons! Er is een fout opgetreden en we willen dit oplossen. Neem contact met ons via %1 of %2.,
We are sorry! An error has occurred and we want to fix it. Please contact us.,Het spijt ons! Er is een fout opgetreden en we willen dit oplossen. Neem contact met ons op.,
Webhooks created,Webhooks aangemaakt,
Webhooks created but the module is disabled!,"Webhooks aangemaakt, maar de module is uitgeschakeld!",
Webhooks not created!,Webhooks niet aangemaakt!,
You are not yet a registered TreviPay user. You will be redirected to the TreviPay credit application form after placing this order. Your order will be processed after approval of your TreviPay credit application and TreviPay user account is created.,U bent nog geen geregistreerde %1-gebruiker. U wordt doorgestuurd naar het %1-kredietaanvraagformulier na het plaatsen van deze bestelling. Uw bestelling wordt verwerkt nadat uw %1-kredietaanvraag is goedgekeurd en uw %1-gebruikersaccount is aangemaakt.,
"You chose to withdraw your application. Change of mind? Visit <a href=""%1"">%2</a> to re-apply at any time.","Je hebt ervoor gekozen je applicatie terug te trekken. Van gedachten veranderd? Ga naar <a href=""%1"">%2</a> om op elk gewenst moment opnieuw aan te vragen.",
"You did not complete your TreviPay Credit Application. Please fill out the form in its entirety, sign and submit at the end.","Je hebt je %2 kredietaanvraag niet ingevuld. Vul het formulier geheel in, onderteken het en dien het vervolgens in.",
You did not complete your TreviPay Credit Application. Please visit the TreviPay section to re-apply.,U heeft uw kredietaanvraag voor %1 niet ingevuld. Ga naar het gedeelte %1 om opnieuw een aanvraag in te dienen.,
"You have been approved to make purchases on terms! <span %2>[ACTION REQUIRED]</span> Please now check your email for your activation link to complete the setup then your Trevipay credit line is ready for use. This link is valid for 7 days. If the email hasn't arrived, do check in your spam/junk mail folder.","Je hebt toestemming gekregen om aankopen onder voorwaarden te doen! <span %2>[ACTIE VEREIST]</span> Ga nu naar je e-mail voor je activeringslink om de installatie te voltooien en je %1 kredietlijn is klaar voor gebruik. Deze link is 7 dagen geldig. Als je de e-mail niet hebt ontvangen, bekijk dan je spam-/ongewenste e-mailmap.",
Your session has expired. Please sign in again.,Uw sessie is verlopen. Meld u opnieuw aan.,
Your TreviPay account has been authorized and linked.,Uw %1-account is geautoriseerd en gekoppeld.,
Your TreviPay Account has been deleted. Please sign in again.,Uw %1-account is verwijderd. Meld u opnieuw aan.,
Your TreviPay account has been suspended. This is likely due to past due payments or needing a credit line increase.,Uw TreviPay-account is opgeschort. Dit komt waarschijnlijk door achterstallige betalingen of omdat u een kredietverhoging nodig heeft.,
"Your TreviPay account has been suspended. This is likely due to past due payments or needing a credit line increase. Please visit <a href=""%1"">%2</a> to resolve this matter.","Je %3-account is geschorst. Dit is waarschijnlijk te wijten aan achterstallige betaling of een verhoging van de kredietlijn. Ga naar <a href=""%1"">%2</a> om deze kwestie op te lossen.",
Your TreviPay buyer account has been suspended. Please contact your company admin to resolve this matter.,Je %1-kopersaccount is geschorst. Neem contact op met je bedrijfsbeheerder om deze kwestie op te lossen.,
"Your TreviPay Credit Application has been approved, and pending setup. <strong>[ACTION REQUIRED]</strong> Please check your email (including spam/junk) to complete the activation via the link within. You can visit the TreviPay section for further detail.",Uw kredietaanvraag voor %1 is goedgekeurd en moet nog worden ingesteld. <strong>[ACTIE VEREIST]</strong> Controleer uw e-mail (inclusief spam/junk) om de activering te voltooien via de link in de e-mail. U kunt het onderdeel %1 bezoeken voor meer informatie.,
Your TreviPay Credit Application has been cancelled. Please visit the TreviPay section to find more details.,Uw kredietaanvraag voor %1 is geannuleerd. Ga naar %1 voor meer informatie.,
Your TreviPay Credit Application has been declined. Please visit the TreviPay section for further details.,Uw kredietaanvraag voor %1 is afgewezen. Ga naar %1 voor meer informatie.,
Your TreviPay Credit Application has been withdrawn.,Uw %1 Kredietaanvraag is ingetrokken.,
Your TreviPay Credit Application has been withdrawn. Please visit the TreviPay section to find more details.,Uw kredietaanvraag voor %1 is ingetrokken. Ga naar %1 voor meer informatie.,
Your TreviPay Credit Application is pending direct debit. Please visit the TreviPay section to find more details.,Uw kredietaanvraag voor %1 is in afwachting van automatische incasso. Ga naar het onderdeel %1 voor meer informatie.,
Your TreviPay Credit Application is pending. Please visit the TreviPay section to find more details.,Uw kredietaanvraag voor %1 is in behandeling. Ga naar het onderdeel %1 voor meer informatie.,
Zero Friction,Geen wrijving,
